,11
2004,2798490
2012,12571269
1978,55
1948,7
2005,3111138
1974,9
1977,210
1968,7
1963,7
2001,2484614
2006,3634509
1975,77
2008,4923942
1981,114
1946,20
1966,26
1986,74
1993,4861
2000,1923296
2009,5967877
2007,4639759
2014,8713404
1972,27
1958,12
1992,1634
2011,10033737
2015,4488746
1990,2364
1998,353942
2003,2643117
1976,10
1991,725
1973,22
1970,36
1979,15
1989,437
1983,71
1982,134
1965,26
1954,20
2016,686913
1962,3
1996,38392
1969,34
1985,152
1980,50
1984,57
1964,16
1997,114047
1987,188
2010,7847701
2002,2567346
1999,942833
1951,14
1988,219
1994,9653
2013,12143634
1967,13
1995,77379
